biome,zone,material,probability,minInclination,maxInclination,propDistance,slotDistance,terrainOffset,slotFilename
SafeShallows,Generic,SafeShallows_Plants,0.08,0,25,0.3,2,0,SafeShallows/SafeShallows_Loot_Plants
SafeShallows,Generic,Grass,0.06,0,180,0.4,4,0,SafeShallows/SafeShallows_Loot_Grass
SafeShallows,Generic,Sand,0.006,0,45,2,5,0,SafeShallows/SafeShallows_Loot_SandFlat
SafeShallows,Generic,Rock,0.02,45,150,2,4,0,SafeShallows/SafeShallows_Loot_Wall
SafeShallows_Cave*,Generic,Sand,0.015,0,45,0.2,5,0,SafeShallows/SafeShallows_Loot_CaveFloor
SafeShallows_Cave*,Generic,Rock,0.015,45,160,1,5,0,SafeShallows/SafeShallows_Loot_CaveWall
SafeShallows,Generic,SafeShallows_ShellTunnelHugeExterior,0.01,0,180,0,4,0,SafeShallows/SafeShallows_Loot_ShellTunnelHugeExterior
SafeShallows_HugeTube,Generic,Coral,0.01,0,180,0,4,0,SafeShallows/SafeShallows_Loot_ShellTunnelHuge
SafeShallows,Generic,SafeShallows_Plants,0.05,0,25,0.3,2,2,SafeShallows/SafeShallows_Creature_Plants
SafeShallows,Generic,Grass,0.03,0,180,0.4,4,2,SafeShallows/SafeShallows_Creature_Grass
SafeShallows,Generic,Sand,0.004,0,45,2,5,2,SafeShallows/SafeShallows_Creature_SandFlat
SafeShallows,Generic,Rock,0.015,45,150,2,4,3,SafeShallows/SafeShallows_Creature_Wall
SafeShallows_Cave*,Generic,Sand,0.01,0,45,0.2,5,1,SafeShallows/SafeShallows_Creature_CaveFloor
SafeShallows_Cave*,Generic,Rock,0.01,45,160,1,5,1,SafeShallows/SafeShallows_Creature_CaveWall
SafeShallows,Generic,SafeShallows_ShellTunnelHugeExterior,0.01,0,180,0,4,3,SafeShallows/SafeShallows_Creature_ShellTunnelHugeExterior
SafeShallows_HugeTube,Generic,Coral,0.005,0,180,0,4,2,SafeShallows/SafeShallows_Creature_ShellTunnelHuge
KelpForest,Generic,Rock,0.008,45,150,4,4,0,KelpForest/KelpForest_Loot_Wall
KelpForest_Dense,Generic,Rock,0.008,45,150,4,4,0,KelpForest/KelpForest_Loot_Wall
KelpForest,Generic,Sand,0.01,0,45,4,4,0,KelpForest/KelpForest_Loot_Sand
KelpForest,Generic,Grass,0.02,0,35,3,5,0,KelpForest/KelpForest_Loot_GrassSparse
KelpForest,Generic,Kelp_VineBase,1,0,35,1,3,0,KelpForest/KelpForest_Loot_VineBase
KelpForest_Dense,Generic,Kelp_VineBase,1,0,35,1,3,0,KelpForest/KelpForest_Loot_VineBase
KelpForest_Dense,Generic,Grass,0.02,0,35,3,5,0,KelpForest/KelpForest_Loot_GrassDense
KelpForest_Dense,Generic,Sand,0.01,0,35,3,5,0,KelpForest/KelpForest_Loot_Sand
KelpForest_Cave*,Generic,Rock,0.01,45,160,3,5,0,KelpForest/KelpForest_Loot_CaveWall
KelpForest_Cave*,Generic,Sand,0.01,0,45,3,5,0,KelpForest/KelpForest_Loot_CaveFloor
KelpForest_Cave*,Generic,Grass,0.01,0,35,3,5,0,KelpForest/KelpForest_Loot_CaveFloor
KelpForest,Generic,Rock,0.008,45,150,4,4,3,KelpForest/KelpForest_Creature_Wall
KelpForest_Dense,Generic,Rock,0.008,45,150,4,4,3,KelpForest/KelpForest_Creature_Wall
KelpForest,Generic,Sand,0.01,0,45,4,4,3,KelpForest/KelpForest_Creature_Sand
KelpForest,Generic,Grass,0.02,0,35,3,5,4,KelpForest/KelpForest_Creature_GrassSparse
KelpForest,Generic,Kelp_VineBase,1,0,35,1,3,2,KelpForest/KelpForest_Creature_VineBase
KelpForest_Dense,Generic,Kelp_VineBase,1,0,35,1,3,1,KelpForest/KelpForest_Creature_VineBase
KelpForest_Dense,Generic,Grass,0.02,0,35,3,5,4,KelpForest/KelpForest_Creature_GrassDense
KelpForest_Dense,Generic,Sand,0.01,0,35,3,5,3,KelpForest/KelpForest_Creature_Sand
KelpForest_Cave*,Generic,Rock,0.01,45,160,3,5,2,KelpForest/KelpForest_Creature_CaveWall
KelpForest_Cave*,Generic,Sand,0.01,0,45,3,5,2,KelpForest/KelpForest_Creature_CaveFloor
KelpForest_Cave*,Generic,Grass,0.01,0,35,3,5,2,KelpForest/KelpForest_Creature_CaveFloor
GrassyPlateaus,Generic,Grass,0.007,0,45,3,3,0,GrassyPlateaus/GrassyPlateaus_Loot_Grass
GrassyPlateaus,Generic,Rock,0.006,45,150,3,3,0,GrassyPlateaus/GrassyPlateaus_Loot_Wall
GrassyPlateaus,Generic,Sand,0.007,0,80,3,6,0,GrassyPlateaus/GrassyPlateaus_Loot_Sand
GrassyPlateaus_Cave,Generic,Sand,0.02,0,40,2,3,0,GrassyPlateaus/GrassyPlateaus_Loot_CaveFloor
GrassyPlateaus_Cave,Generic,Rock,0.02,0,40,2,3,0,GrassyPlateaus/GrassyPlateaus_Loot_CaveFloor
GrassyPlateaus_Cave,Generic,Rock,0.02,45,140,1,3,0,GrassyPlateaus/GrassyPlateaus_Loot_CaveWall
GrassyPlateaus_Cave,Generic,Coral,0.02,45,140,1,3,0,GrassyPlateaus/GrassyPlateaus_Loot_CaveWall
GrassyPlateaus_Cave,Generic,Stalactite,0.02,45,140,1,3,0,GrassyPlateaus/GrassyPlateaus_Loot_CaveWall
GrassyPlateaus_Cave,Generic,Rock,0.006,140,180,2,3,0,GrassyPlateaus/GrassyPlateaus_Loot_CaveCeiling
GrassyPlateaus_Cave,Generic,Coral,0.006,140,180,2,3,0,GrassyPlateaus/GrassyPlateaus_Loot_CaveCeiling
GrassyPlateaus_Tower,Generic,Sand,0.03,0,25,2,2,0,GrassyPlateaus/GrassyPlateaus_Loot_Tower
GrassyPlateaus_Tower,Generic,Grass,0.03,0,25,2,2,0,GrassyPlateaus/GrassyPlateaus_Loot_Tower
