biome,probability,minDepth,maxDepth,terrainDistance,propDistance,slotDistance,slotFilename
SafeShallows,0.0008,2,50,2,0.3,2,SafeShallows/SafeShallows_Creature_OpenShallow
SafeShallows,0.0006,50,200,2,0.4,4,SafeShallows/SafeShallows_Creature_OpenDeep
KelpForest_DenseVine,0.002,2,2000,3,2,3,KelpForest/KelpForest_Creature_DenseVine
GrassyPlateaus,0.0001,2,50,5,2,3,GrassyPlateaus/GrassyPlateaus_Creature_OpenShallow
GrassyPlateaus,0.0001,50,200,5,2,3,GrassyPlateaus/GrassyPlateaus_Creature_OpenDeep
KooshZone,0.0001,10,150,15,2,3,KooshZone/KooshZone_Creature_OpenShallow
KooshZone,0.0001,150,500,15,2,3,KooshZone/KooshZone_Creature_OpenDeep
CrashZone,0.0001,10,200,15,2,3,CrashZone/CrashZone_Creature_OpenShallow
CrashZone,0.0001,200,500,15,2,3,CrashZone/CrashZone_Creature_OpenDeep
Mountains,0.0001,10,200,15,2,3,Mountains/Mountains_Creature_OpenShallow
Mountains,0.0001,200,500,15,2,3,Mountains/Mountains_Creature_OpenDeep
UnderWaterIslands,0.0001,10,200,15,2,3,UnderWaterIslands/UnderWaterIslands_Creature_OpenShallow
UnderWaterIslands,0.0001,200,600,15,2,3,UnderWaterIslands/UnderWaterIslands_Creature_OpenDeep
BloodKelpTwo,0.0001,10,200,15,2,3,BloodKelp/BloodKelp_Creature_OpenShallow
BloodKelpTwo,0.0001,200,600,15,2,3,BloodKelp/BloodKelp_Creature_OpenDeep
SeaTreaderPath,0.0001,10,200,15,2,3,SeaTreaderPath/SeaTreaderPath_Creature_OpenShallow
SeaTreaderPath,0.0001,200,600,15,2,3,SeaTreaderPath/SeaTreaderPath_Creature_OpenDeep
GrandReef,0.0001,10,200,15,2,3,GrandReef/GrandReef_Creature_OpenShallow
GrandReef,0.0001,200,600,15,2,3,GrandReef/GrandReef_Creature_OpenDeep
Dunes,0.0001,10,200,15,2,3,Dunes/Dunes_Creature_OpenShallow
Dunes,0.0001,200,600,15,2,3,Dunes/Dunes_Creature_OpenDeep
SparseReef,0.0001,10,150,15,2,3,SparseReef/SparseReef_Creature_OpenShallow
SparseReef,0.0001,150,400,15,2,3,SparseReef/SparseReef_Creature_OpenDeep
ILZCastleTunnel,0.002,500,2000,3,0.3,2,ILZCastle/ILZCastle_Creature_TunnelOpen
ILZCastleChamber,0.0005,500,2000,3,0.3,2,ILZCastle/ILZCastle_Creature_ChamberOpen
LavaFalls,0.0004,500,2000,2,0.3,2,LavaFalls/LavaFalls_Creature_Open
ILZCorridor,0.0004,500,2000,3,0.3,2,ILZChamber/ILZChamber_Creature_CorridorOpen
ILZChamber,0.0001,500,2000,3,0.3,2,ILZChamber/ILZChamber_Creature_ChamberOpen
ILZChamber,0.0004,500,2000,3,0.3,2,ILZChamber/ILZChamber_Creature_ChamberUnique
ILZChamber_MagmaTree,0.001,500,2000,3,0.3,2,ILZChamber/ILZChamber_Creature_MagmaTree_Open
ILZChamber_MagmaBubble,0.001,500,2000,3,0.3,2,ILZChamber/ILZChamber_Creature_MagmaBubble_Open
ILZChamber_Dragon,0.0003,500,2000,3,0.3,2,ILZChamber/ILZChamber_Creature_Chamber_Dragon_Open
LostRiver_TreeCove,0,500,2000,3,0.3,10,LostRiver/TreeCove/TreeCove_Creature_Open
LostRiver_TreeCove_Tree,0,500,2000,3,0.3,10,LostRiver/TreeCove/TreeCove_Creature_TreeOpen
ALZChamber,0.0006,500,2000,2,0.3,2,LavaLakes/LavaLakes_Creature_Open
ALZFalls,0.0006,500,2000,2,0.3,2,LavaLakes/LavaLakes_Creature_Open
LavaPit,0.0006,500,2000,1.5,0.3,2,ILZLavaPit/ILZLavaPit_Creature_Open
LostRiver_BonesField,0.00025,500,2000,10,3,2,LostRiver/BonesField/BonesField_Creature_Open
LostRiver_BonesField_Skeleton,0.005,500,2000,2,0.5,3,LostRiver/BonesField/BonesField_Creature_Skeleton_Open
LostRiver_BonesField_LakePit,0.005,500,2000,2,2,2,LostRiver/BonesField/BonesField_Creature_LakePit_Open
LostRiver_BonesField_Corridor,0.00025,500,2000,10,3,3,LostRiver/BonesField/BonesField_Creature_Corridor_Open
LostRiver_GhostTree,0.001,500,2000,10,0.3,10,LostRiver/GhostTree/GhostTree_Creature_Open
LostRiver_GhostTree_Skeleton,0.005,500,2000,3,0.3,10,LostRiver/GhostTree/GhostTree_Creature_Skeleton_Open
LostRiver_GhostTree_LakePit,0.005,500,2000,2,0.3,10,LostRiver/GhostTree/GhostTree_Creature_LakePit_Open
LostRiver_GhostTree,0.001,500,2000,10,0.3,10,LostRiver/GhostTree/GhostTree_Creature_Open_Big
LostRiver_Junction,0.001,500,2000,10,3,10,LostRiver/Junction/Junction_Creature_Open
LostRiver_Canyon,0.001,500,2000,10,0.3,10,LostRiver/Canyon/Canyon_Creature_Open
LostRiver_SkeletonCave,0.001,500,2000,10,0.3,10,LostRiver/SkeletonCave/SkeletonCave_Creature_Open
LostRiver_SkeletonCave_Cave_Sphere,0.001,500,2000,10,0.3,10,LostRiver/SkeletonCave/SkeletonCave_Creature_Skeleton
LostRiver_Corridor,0.001,500,2000,10,3,10,LostRiver/Corridor/Corridor_Creature_Open
CragField,0.001,2,2000,8,0.3,8,CragField/CragField_Creature_Open
Prison_Aquarium,0.0003,500,2000,2,0.3,2,Prison/Aquarium/PrisonAquarium_Creature_Open
Prison_Aquarium_Mid,0.00015,500,2000,2,0.3,2,Prison/Aquarium/PrisonAquarium_Creature_Open
CrashZone_Mesa,0.001,2,2000,3,2,3,Mesa/Mesa_Creature_Open
CrashZone_Trench,0.0001,10,200,15,2,3,CrashZone/CrashZone_Creature_OpenShallow
CrashZone_Trench,0.0001,200,500,15,2,3,CrashZone/CrashZone_Creature_OpenDeep
