blockType,minInclination,maxInclination,material
1,0,360,Sand
2,0,360,Sand
3,0,360,Sand
20,0,360,Sand
21,0,360,Sand
37,0,35,Sand
38,0,35,Sand
39,0,35,Sand
61,0,360,Sand
102,0,35,Sand
105,0,45,Sand
111,0,35,Sand
120,0,180,Sand
160,0,35,Sand
162,45,180,Sand
172,0,35,Sand
186,0,35,Sand
226,0,35,Sand
56,0,45,Sand
57,0,45,Sand
34,0,45,Grass
44,0,45,Grass
45,0,45,Grass
62,0,35,Grass
63,0,360,Rock
101,0,35,Grass
109,0,45,Sand
109,45,180,Rock
110,0,35,Grass
113,0,35,Grass
114,0,35,Grass
115,0,35,Grass
116,0,35,Grass
162,0,35,Grass
218,0,45,Sand
218,45,180,Rock
220,0,45,Sand
220,45,180,Rock
18,0,180,Rock
19,0,360,Rock
27,0,360,Rock
37,45,360,Rock
38,45,360,Rock
39,45,360,Rock
105,55,360,Rock
110,45,360,Rock
111,45,360,Rock
113,45,360,Rock
114,45,360,Rock
115,45,360,Rock
116,45,360,Rock
160,45,360,Rock
172,45,360,Rock
226,45,360,Rock
56,45,180,Rock
57,45,180,Rock
223,40,180,PorousRock
225,0,180,PorousRock
223,0,40,PorousSand
224,40,180,PorousSand
230,0,180,PorousSand
221,0,30,PorousCoral
224,0,180,PorousCoral
175,0,360,Stalactite
176,0,360,Stalactite
7,0,360,Coral
8,0,360,Coral
11,0,360,Coral
41,0,360,Coral
50,0,360,Coral
51,0,360,Coral
100,0,360,Coral
204,0,360,Kelp_VineBase
5,0,360,SafeShallows_Plants
7,0,360,SafeShallows_Plants
8,0,360,SafeShallows_Plants
10,0,360,SafeShallows_Plants
13,0,360,SafeShallows_Plants
50,0,360,SafeShallows_Plants
22,0,360,SafeShallows_ShellTunnelHugeExterior
151,0,360,JellyshroomCaves_Generic
1,0,360,KZSand
2,0,360,KZSand
3,0,360,KZSand
5,0,360,KZBarnacle
6,0,360,KZBrainCoral
11,0,360,KZRock
13,0,360,KZRock
14,0,360,KZRock
15,0,360,KZSand
18,0,360,KZRock
20,0,360,KZSand
21,0,360,KZSand
23,0,360,KZCoral
31,0,360,KZLava
172,0,45,KZSand
172,45,180,KZRock
201,0,360,KZRock
218,0,45,KZSand
218,45,180,KZRock
220,0,45,KZSand
220,45,180,KZRock
222,0,360,KZRock
223,0,360,KZRock
224,0,360,KZRock
225,0,360,KZRock
226,0,45,KZSand
226,45,180,KZRock
227,0,360,KZRock
228,0,360,KZGrass
231,0,360,KZGrass
233,0,360,KZGrass
236,0,360,KZCoral
237,0,360,KZRock
244,0,360,KZGrass
1,0,360,MFSand
2,0,360,MFSand
3,0,360,MFSand
5,0,360,MFCoral
6,0,360,MFCoral
7,0,360,MFCoral
9,0,360,MFCoral
10,0,360,MFCoral
11,0,360,MFCoral
12,0,360,MFCoral
13,0,360,MFCoral
14,0,360,MFCoral
15,0,360,MFSand
18,0,360,MFRock
19,0,360,MFRock
20,0,360,MFSand
21,0,360,MFSand
22,0,360,MFCoral
23,0,360,MFCoral
37,0,45,MFSand
37,45,180,MFRock
39,0,360,MFRock
60,0,360,MFRock
64,0,360,MFRock
65,0,45,MFSand
65,45,180,MFRock
111,0,45,MFSand
111,45,180,MFRock
115,0,360,MFRock
201,0,360,MFCoral
203,0,360,MFCoral
204,0,360,MFCoral
218,0,45,MFSand
218,45,180,MFRock
220,0,45,MFSand
220,45,180,MFRock
222,0,360,MFRock
223,0,360,MFRock
226,0,360,MFSand
229,0,360,MFGrass
230,0,360,MFSand
231,0,360,MFGrass
232,0,360,MFGrass
233,0,360,MFGrass
234,0,360,MFGrass
235,0,360,MFCoral
236,0,180,MFCoral
236,0,180,MFCoral
237,0,45,MFSand
237,45,180,MFRock
240,0,360,MFGrass
246,0,360,MFGrass
249,0,360,MFGrass
250,0,360,MFGrass
252,0,360,MFCoral
185,0,45,Jcaves_Sand
186,0,45,Jcaves_Sand
185,45,90,Jcaves_Wall
186,45,90,Jcaves_Wall
187,0,45,Jcaves_Jellyshroom
188,0,90,Jcaves_Jellyshroom
191,0,45,Jcaves_Jellyshroom
151,0,45,Jcaves_Floor
189,0,45,Jcaves_Floor
190,0,45,Jcaves_Floor
189,45,120,Jcaves_Wall
190,45,120,Jcaves_Wall
192,0,90,Jcaves_Geyser
189,120,360,Jcaves_Ceiling
151,0,360,Jcaves_Generic
183,0,360,Rock
1,0,360,Dunes_Sand
3,0,360,Dunes_Sand
5,0,360,Dunes_Rock
7,0,360,Dunes_Rock
9,0,360,Dunes_Rock
13,0,360,Dunes_Rock
14,0,360,Dunes_Rock
18,0,360,Dunes_Rock
20,0,360,Dunes_Rock
27,0,360,Dunes_Rock
35,0,360,Dunes_Rock
93,0,45,Dunes_Plateau
93,45,180,Dunes_Rock
94,0,360,Dunes_Grass
101,0,360,Dunes_Grass
120,0,360,Dunes_Sand
172,0,45,Dunes_Plateau
172,45,180,Dunes_Rock
207,0,360,Dunes_Rock
237,0,45,Dunes_Sand
237,45,180,Dunes_Rock
99,45,180,Dunes_Rock
99,0,45,Dunes_Sand
165,0,180,Dunes_ThermalVent
249,0,180,Dunes_ThermalVent
172,0,45,MFSand
172,45,480,MFRock
150,0,35,GrandReef_Ground
151,0,45,GrandReef_Ground
153,0,45,GrandReef_Grass
18,0,180,GrandReef_Rock
151,45,180,GrandReef_Rock
153,45,180,GrandReef_Rock
155,45,180,GrandReef_Rock
159,30,180,GrandReef_Rock
166,45,180,GrandReef_Rock
166,0,45,GrandReef_Ground
