behavior,sampleName,gene,color,serumName,description,material,playerMaterial,transfuserMaterial
Creepvine,Creepvine juice,RegenGene,7cc470,Regen serum,regeneration,Materials/DNA/RegenOverlay,Materials/DNA/Player/fp_RegenOverlay,Materials/DNA/Transfuser/transfusLiquid_Regen
Glowvine,Glowvine juice,GlowGene,00921d,Glow serum,glowing,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Glow
Jumper,Jumper juice,JumpGene,a8f99b,Jump serum,jump height,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Jump
LavaLarva,Lava larva juice,HeatResistGene,e7c43a,Heat resist serum,heat resistance,Materials/DNA/HeatResistOverlay,Materials/DNA/Player/fp_HeatResistOverlay,Materials/DNA/Transfuser/transfusLiquid_HeatResist
Hoverfish,Hoverfish juice,InertiaGene,e0ded8,Inertialess serum,inertialess,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Inertia
Oculus,Oculus juice,LightSensitiveGene,ffd822,Light sensitive serum,light sensitivity,Materials/DNA/LightSensitiveOverlay,Materials/DNA/Player/fp_LightSensitiveOverlay,Materials/DNA/Transfuser/transfusLiquid_LightSensitive
Stalker,Stalker juice,SonarGene,a7a107,Sonar serum,sonar,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Sonar
Spadefish,Spadefish juice,ShellGene,f3818e,Shell serum,protection,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Shell
Bladderfish,Bladderfish juice,AirBladderGene,f45e8c,Air bladder serum,air bladder,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_AirBladder
RabbitRay,Oxytocin,OxytocinGene,112940,Love serum,friendliness,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Oxytocin
Reefback,Reefback steriods,GrowGene,404a8e,Growth steroid,growth,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Grow
Slime,Mucus,StickyGene,778222,Mucus serum,stickiness,Materials/DNA/MucusOverlay,Materials/DNA/Player/fp_MucusOverlay,Materials/DNA/Transfuser/transfusLiquid_Mucus
Peeper,Peeper juice,SpeedGene,819a5b,Speed steroid,speed,Materials/DNA/GlowOverlay,Materials/DNA/Player/fp_GlowOverlay,Materials/DNA/Transfuser/transfusLiquid_Speed
